include,done,symp,id,class,desc,species,species by,species syn,species syn by,species alt,POWO,IPNI,TPL,GBIF,TROP,EOL,WFO,NCBI,NCBI id,family,Wyk name,Amar name,Hu name,other name,plant part used,region of origin,country code,lat,lon,source,macroarea,area,native regions,no. of native regions,introduced regions,no. of introduced regions,total regions,spreadability,cultivation,color,usage,TCM,TCM DB,Ayurveda,taste/smell,heat,Major uses,Culinary,Medicinal,Köhler,Wyk,Hu,Words,Notes,Britannica,English,En alt,Plant name,Chinese WN,Chinese Wiki,Chinese simp.,FOC,Chinese,Ch transliteration,Ch literal,Ch alt,Arabic,Ar transliteration,Ar literal,Ar alt,Hungarian,Hu literal,Hu alt,Hu notes,Hindi,Hi transliteration,Hi literal,Hi alt ,Indonesian,Malay,Persian,pharmaceutical,pharma en,TCM name,ECMM,medicinal group,meridian,action,Hu zh,Hu en,Extra
maybe,,yes,areca nut,,,Areca catechu,L.,,,,https://powo.science.kew.org/taxon/664107-1,,,,,,,,,Palmae,,,,"areca seed, betel nut",dried ripe seed,Philippines,,13.0,122.0,,Asia,Philippines,Philippines,1,"Andaman Is., Bangladesh, Bismarck Archipelago, Borneo, Cambodia, Caroline Is., China South-Central, Comoros, Dominican Republic, East Himalaya, Fiji, Hainan, Haiti, India, Jamaica, Jawa, Laos, Leeward Is., Lesser Sunda Is., Malaya, Maldives, Maluku, Marianas, New Guinea, Nicobar Is., Puerto Rico, Santa Cruz Is., Society Is., Solomon Is., Sri Lanka, Sulawesi, Sumatera, Taiwan, Thailand, Trinidad-Tobago, Vanuatu, Vietnam",37,38.0,37.0,,,,,,,,,,,,,,,betel,,,areca nut,betel nut,,,,,,檳榔,bīnláng,,,فوفل,fawfal,,,arékadió,areca-nut,,,,,,,,,,Areca Semen,Areca Seed,,,,,,,,
out,,,Areca Peel,medicine,Dried pericarp of Areca catechu L. (Fam. Palmae),,,,,,https://powo.science.kew.org/taxon/664107-1,,,,,,,,,,,,,,,Philippines,,,,polyu_chinese_2020,Asia,SEA,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,大腹皮,dàfùpí,daai6 fuk1 pei4 ,,,,,,,,,,,,,,,,,Arecae Pericarpium,,,,Qi-regulating medicinal,pungent; slightly warm,"Spleen, Stomach, Large intestine, Small intestine",,,
out,,yes,Areca Seed,medicine,Dried ripe seed of Areca catechu L. (Fam. Palmae),,,,,,https://powo.science.kew.org/taxon/664107-1,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,檳榔,bīnláng,ban1 long4 ,,,,,,,,,,,,,,,,,Arecae Semen,Areca Seed,,,Worm-expelling medicinal,"pungent, bitter; warm","Stomach, Large intestine",,,
in,,yes,asafoetida,spice,,Ferula foetida,(Bunge) Regel,,,\taxonn{Ferula assa-foetida}{L.}; et al.,https://powo.science.kew.org/taxon/842277-1,,http://www.theplantlist.org/tpl1.1/record/kew-2808419,,,,,,371345,Apiaceae/Umbelliferae,"hing, devil’s dung, asant",,,,gum-resin (latex),Iran; W. and C. Asia,IR,35.0,55.0,van_wyk_culinary_2021,Asia,Central Asia,"Afghanistan, Iran, Kazakhstan, Kirgizstan, Pakistan, Tadzhikistan, Turkmenistan, Uzbekistan",8,,1,9.0,0.125,Iran; Afghanistan,from pale yellow to brown,,,,,"pungent, rotten",1,curries; expectorant,,,II 147,138,,,,https://www.britannica.com/topic/asafetida,asafoetida,hing; devil's dung,,"阿魏胶, 阿魏",,阿魏,,阿魏,āwèi,,,حلتیت,ḥiltīt,,,ördöggyökér,devil's root,\textit{aszatgyanta} [asat resin]; \textit{bűzös aszat} [stinking asat],"büdös gyantagyökér; bűzös husáng, bűzös aszat; ördögszar, aszatgyanta, aszandkórógyanta, pálcakórógyanta, aszafetida, bűzaszat , Aszandkóró (növény wiki)!",हींग,hīng,,,,,,"Asafetida, Resina Ferulae",Ferula Resin,阿魏,5,,,,阿魏,Asafetida,Tamil perungayam. There is a saying in Kannada 'ಇಂಗು ತೆಂಗು ಇದ್ದರೆ ಮಂಗನೂ ಅಡಿಗೆ ಮಾಡತ್ತೆ'. This means even a monkey can cook if Asafoetida and coconut is available. Hing is must in Kannada and Marathi brahmin cuisine for sure.
out,,yes,Black Sesame,medicine,Dried ripe seed of Sesamum indicum L. (Fam. Pedaliaceae),Sesamum indicum,L.,,,,https://powo.science.kew.org/taxon/675971-1,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,India,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,黑芝麻,hēizhīmá,hak1 zi1 maa4 ,,,,,,,,,,,,,,,,,Sesami Nigrum Semen,,,,Yin-tonifying medicinal,sweet; neutral,"Liver, Kidney, Large intestine",,,
out,,yes,caoguo,spice,Dried ripe fruit of Amomum tsok-ko Crevost et Lemaire (Fam. Zingiberaceae),Lanxangia tsao-ko,(Crevost & Lemarié) M.F.Newman & Škorničk.,Amomum tsok-ko,Crevost et Lemaire,,https://powo.science.kew.org/taxon/77178198-1,,,,,,,,,Zingiberaceae,,,,,,Yunnan,,25.0,102.0,polyu_chinese_2020,Asia,China (Yunnan) to N. Indo-China,"China South-Central, Laos, Vietnam",3,China Southeast,1,4.0,0.3333333333333333,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,草果,cǎoguǒ,herb-fruit,cou2 gwo2 ,,,,,,,,,,,,,,,,Tsaoko Fructus,,,,Dampness-resolving medicinal,pungent; warm,"Spleen, Stomach",,,
in,,yes,cassia,spice,,Cinnamomum cassia,(L.) J.Presl.,C. aromaticum,Nees,et al.,https://powo.science.kew.org/taxon/463288-1,,http://www.theplantlist.org/tpl1.1/record/kew-2721201,,,,,,119260,Lauraceae,cassia; Chinese cinnamon; Chinese cassia,,,,bark; fruit,Southeast China,Southeast China,22.0,111.0,van_wyk_culinary_2014,Asia,South China; Vietnam,China Southeast,1,"Bangladesh, Cambodia, China South-Central, Guatemala, Hainan, Honduras, India, Laos, Malaya, Myanmar, Sumatera, Taiwan, Thailand, Trinidad-Tobago, Vietnam",15,16.0,15.0,Indonesia; China; Vietnam; Timor-Leste; etc.,reddish brown,,yes,polyu-tcm,,"pungent, cinnamon-like",3,flavor; diarrhea,,,I 77,104,399,,,https://www.britannica.com/topic/cassia-spice,cassia,,,"桂皮, 肉桂, 香桂",,,,肉桂,ròuguì,flesh-cinnamon,,سليخة,salīkha,peel; bark,,kasszia(fahéj),cassia (tree-bark),,,,,,,,,,Cortex Cassiae/Cinnamomi Cortex; Ramulus Cinnamomi,Cassia bark,肉桂; 桂枝,,,,,,,
out,,yes,Cassia Bark,medicine,Dried stem bark of Cinnamomum cassia Presl (Fam. Lauraceae),,,,,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,China South,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,肉桂,ròugùi,juk6 gwai3 ,,,,,,,,,,,,,,,,,Cinnamomi Cortex,,,,Interior-warming medicinal,"pungent, sweet; strongly hot","Liver, Heart, Spleen, Kidney",,,
out,,yes,Chinese Star Anise,medicine,Dried ripe fruit of Illicium verum Hook. f. (Fam. Magnoliaceae),,,,,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,八角茴香,bājiǎohúixiāng,baat3 gok3 ? hoeng1 ,,,,,,,,,,,,,,,,,Anisi Stellati Fructus,,,,Interior-warming medicinal,pungent; warm,"Liver, Kidney, Spleen, Stomach",,,
in,,yes,clove,spice,Dried flower bud,Syzygium aromaticum,(L.) Merr. \& L.M.Perry,Eugenia aromatica,(L.) Baill.,syn \taxonn{Eugenia cayophyllata}{Thunb.},https://powo.science.kew.org/taxon/601421-1,,http://www.theplantlist.org/tpl1.1/record/kew-199236,,,,,,219868,Myrtaceae,clove(s),,,,flower buds,Moluccas (Indonesia),Ternate and Tidore,0.0,127.0,van_wyk_culinary_2030,Asia,Indonesia,Maluku,1,"Borneo, Caroline Is., Comoros, Gulf of Guinea Is., Madagascar, Nicobar Is., Seychelles, Tanzania, Trinidad-Tobago",9,10.0,9.0,"Indonesia, Malaysia, Tanzania","rich, reddish brown",,yes,,,"sweet, pungent, astringent",5,"meats, sauces; anesthetic",,,II 125,266,,,,https://www.britannica.com/plant/clove,clove,,clove tree,丁香,,丁香,,丁香,dīngxiāng,nail-spice,ding1 hoeng1 ,قرنفل,qaranful,,,szegfűszeg,nail-grass-nail,,,,,,,,,,Fructus Caryophylli; Flos Caryophylli; Caryophylli Flos,Clove,丁香,905; 1639; 1640,Interior-warming medicinal,pungent; warm,"Spleen, Stomach, Lung, Kidney",母丁香; 丁香 (雄丁香),Clove (fruit),
