#,include,lang,id,plot color,lang color,boxskip,treeskip,plotskip,doubt,complex,language,script,term,script alt,term alt,IPA,literal,meaning_id,meaning,explanation,remark,etymons,cognates,derivates,compare,note,loanword,donor,date,century,period,based on,att page,attested,att link,source page,source,source link,ref page,reference,ref link,ref page2,reference2,ref link2,done,,,
1,no,la,tester,red,,,,,,,A,тест,test,алт,alt,,literal,meaning,meaning,explanation,remark,,cognates,derivates,,a note,yes,,1300,14,,,,,,test1,oed,https://www.oed.com/view/Entry/199677,test1,oed,https://www.oed.com/view/Entry/199677,,,,,,,
2,no,la,tester,,,,,,,complex,B,тесте,teste,алте,alt,,literal,id.,meaning,explanation,remark,,cognates,derivates,,a note,,yes,1100,12,,,,,,test2,oed,https://www.oed.com/view/Entry/199677,test2,oed,https://www.oed.com/view/Entry/199677,,,,,,,
3,no,la,tester,,,,,,,,C,тестум,testum,алтер,alt,,literal,id.,meaning,explanation,remark,,cognates,derivates,,a note,,,900,10,,,,,,test2,oed,https://www.oed.com/view/Entry/199677,test2,oed,https://www.oed.com/view/Entry/199677,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,yes,en,allspice,gray,,,,yes,,,English,,allspice,,,,,,,"from \textit{all} + \textit{spice}; after the flavour profile that resembles the combined aroma of cloves, nutmeg, cinnamon, and black pepper",,,,,,"Etymology: < French anis < Latin anīsum , < Greek ἄνῑσον , in var. dialect forms ἄνησον , ἄνηθον , ἄνητον , under which the Greeks seem to have included the two plants Anise and Dill. When these were discriminated, the variants anīsum and anēthum were utilized in Latin to distinguish them",no,,1621,17,,,,,,allspice,oed,,,oed,https://www.oed.com/view/Entry/5494,,OE,https://www.etymonline.com/word/allspice#etymonline_v_8186,yes,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,yes,ar,fulful ifranji,gray,,,,,,,Arabic,فلفل إفرنجي,fulful ifranjī,,,,European pepper,allspice,allspice,"literally `Frankish pepper', named so because it was transmitted by Europeans",,,,,,,no,,1700?,18?,Early Modern,,,,,,baalbaki_-mawrid_1995,,,,,,,,yes,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,yes,zh,duoxiangguo,gray,,,,,,,Mandarin Chinese,多香果,duōxiāngguǒ,,,,many-spice-fruit,allspice,allspice,semantic translation,,,,,,,yes,,1900?,20?,Modern,,,?,,,mdbg,,,,,,,,yes,,,
2,yes,zh,duoxiangguo,,,,,,,,English,,allspice,,,,,id.,allspice,"from \textit{all} + \textit{spice}; after the flavour profile that resembles the combined aroma of cloves, nutmeg, cinnamon, and black pepper",,,,,,,no,yes,1621,17,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,yes,en,pimento,gray,,,,,,,English,,pimento,,,,,allspice; sweet pepper,allspice; sweet pepper,,,,,,,,yes,,c1660,17,,,,,,pimento,oed,https://www.oed.com/view/Entry/143999?,pimento,oed,https://www.oed.com/view/Entry/143999?,,OE,https://www.etymonline.com/word/pimento#etymonline_v_14997,yes,,,
2,yes,en,pimento,,,,,,,partly,Portuguese,,pimenta,,more fully \textit{pimenta da Jamaica},,,allspice; sweet pepper; black pepper,allspice; sweet pepper; black pepper,,,,,,,,,yes,,15,,,,,,pimento,oed,https://www.oed.com/view/Entry/143999?,pimento,oed,https://www.oed.com/view/Entry/143999?,,,,yes,,,
